season,team,id,headshot,firstName,lastName,positionCode,shootsCatches,sweaterNumber,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,pos_F,pos_D,pos_G,hand_R,hand_L
2024,BOS,8480003,https://assets.nhle.com/mugs/nhl/20232024/BOS/8480003.png,Jesper,Boqvist,C,L,70,73,184,185,83,1998-10-30,Falun,SWE,"",1,0,0,0,1
2024,BOS,8475745,https://assets.nhle.com/mugs/nhl/20232024/BOS/8475745.png,Charlie,Coyle,C,R,13,75,218,191,99,1992-03-02,East Weymouth,USA,Massachusetts,1,0,0,1,0
2024,BOS,8478498,https://assets.nhle.com/mugs/nhl/20232024/BOS/8478498.png,Jake,DeBrusk,L,L,74,73,198,185,90,1996-10-17,Edmonton,CAN,Alberta,1,0,0,0,1
2024,BOS,8479365,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479365.png,Trent,Frederic,C,L,11,75,220,191,100,1998-02-11,St. Louis,USA,Missouri,1,0,0,0,1
2024,BOS,8479987,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479987.png,Morgan,Geekie,C,R,39,75,202,191,92,1998-07-20,Strathclair,CAN,Manitoba,1,0,0,1,0
2024,BOS,8478046,https://assets.nhle.com/mugs/nhl/20232024/BOS/8478046.png,Danton,Heinen,C,L,43,74,195,188,88,1995-07-05,Langley,CAN,British Columbia,1,0,0,0,1
2024,BOS,8480880,https://assets.nhle.com/mugs/nhl/20232024/BOS/8480880.png,Jakub,Lauko,C,L,94,73,193,185,88,2000-03-28,Prague,CZE,"",1,0,0,0,1
2024,BOS,8473473,https://assets.nhle.com/mugs/nhl/20232024/BOS/8473473.png,Milan,Lucic,L,L,17,75,236,191,107,1988-06-07,Vancouver,CAN,British Columbia,1,0,0,0,1
2024,BOS,8473419,https://assets.nhle.com/mugs/nhl/20232024/BOS/8473419.png,Brad,Marchand,L,L,63,69,176,175,80,1988-05-11,Halifax,CAN,Nova Scotia,1,0,0,0,1
2024,BOS,8477956,https://assets.nhle.com/mugs/nhl/20232024/BOS/8477956.png,David,Pastrnak,R,R,88,72,196,183,89,1996-05-25,Havirov,CZE,"",1,0,0,1,0
2024,BOS,8483505,https://assets.nhle.com/mugs/nhl/20232024/BOS/8483505.png,Matthew,Poitras,C,R,51,71,180,180,82,2004-03-10,Ajax,CAN,Ontario,1,0,0,1,0
2024,BOS,8479546,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479546.png,Oskar,Steen,C,R,62,70,196,178,89,1998-03-09,Karlstad,SWE,"",1,0,0,1,0
2024,BOS,8474037,https://assets.nhle.com/mugs/nhl/20232024/BOS/8474037.png,James,van Riemsdyk,L,L,21,75,208,191,94,1989-05-04,Middletown,USA,New Jersey,1,0,0,0,1
2024,BOS,8478401,https://assets.nhle.com/mugs/nhl/20232024/BOS/8478401.png,Pavel,Zacha,C,L,18,76,207,193,94,1997-04-06,Brno,CZE,"",1,0,0,0,1
2024,BOS,8478443,https://assets.nhle.com/mugs/nhl/20232024/BOS/8478443.png,Brandon,Carlo,D,R,25,77,217,196,98,1996-11-26,Colorado Springs,USA,Colorado,0,0,0,1,0
2024,BOS,8475762,https://assets.nhle.com/mugs/nhl/20232024/BOS/8475762.png,Derek,Forbort,D,L,28,76,216,193,98,1992-03-04,Duluth,USA,Minnesota,0,0,0,0,1
2024,BOS,8476891,https://assets.nhle.com/mugs/nhl/20232024/BOS/8476891.png,Matt,Grzelcyk,D,L,48,70,180,178,82,1994-01-05,Charlestown,USA,Massachusetts,0,0,0,0,1
2024,BOS,8476854,https://assets.nhle.com/mugs/nhl/20232024/BOS/8476854.png,Hampus,Lindholm,D,L,27,76,224,193,102,1994-01-20,Helsingborg,SWE,"",0,0,0,0,1
2024,BOS,8482511,https://assets.nhle.com/mugs/nhl/20232024/BOS/8482511.png,Mason,Lohrei,D,L,6,77,211,196,96,2001-01-17,Baton Rouge,USA,Louisiana,0,0,0,0,1
2024,BOS,8479325,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479325.png,Charlie,McAvoy,D,R,73,73,209,185,95,1997-12-21,Long Beach,USA,New York,0,0,0,1,0
2024,BOS,8474031,https://assets.nhle.com/mugs/nhl/20232024/BOS/8474031.png,Kevin,Shattenkirk,D,R,12,72,203,183,92,1989-01-29,New Rochelle,USA,New York,0,0,0,1,0
2024,BOS,8478450,https://assets.nhle.com/mugs/nhl/20232024/BOS/8478450.png,Parker,Wotherspoon,D,L,29,73,195,185,88,1997-08-24,Surrey,CAN,British Columbia,0,0,0,0,1
2024,BOS,8483548,https://assets.nhle.com/mugs/nhl/20232024/BOS/8483548.png,Brandon,Bussi,G,R,30,76,218,193,99,1998-06-25,Sound Beach,USA,New York,0,0,1,1,0
2024,BOS,8480280,https://assets.nhle.com/mugs/nhl/20232024/BOS/8480280.png,Jeremy,Swayman,G,L,1,75,195,191,88,1998-11-24,Anchorage,USA,Alaska,0,0,1,0,1
2024,BOS,8476999,https://assets.nhle.com/mugs/nhl/20232024/BOS/8476999.png,Linus,Ullmark,G,L,35,76,213,193,97,1993-07-31,Lugnvik,SWE,"",0,0,1,0,1
2024,BUF,8484145,https://assets.nhle.com/mugs/nhl/20232024/BUF/8484145.png,Zach,Benson,L,L,9,70,170,178,77,2005-05-12,Chilliwack,CAN,British Columbia,1,0,0,0,1
2024,BUF,8481528,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481528.png,Dylan,Cozens,C,R,24,75,195,191,88,2001-02-09,Whitehorse,CAN,Yukon Territory,1,0,0,1,0
2024,BUF,8476878,https://assets.nhle.com/mugs/nhl/20232024/BUF/8476878.png,Zemgus,Girgensons,L,L,28,74,200,188,91,1994-01-05,Riga,LVA,"",1,0,0,0,1
2024,BUF,8478413,https://assets.nhle.com/mugs/nhl/20232024/BUF/8478413.png,Jordan,Greenway,L,L,12,78,231,198,105,1997-02-16,Canton,USA,New York,1,0,0,0,1
2024,BUF,8481522,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481522.png,Peyton,Krebs,C,L,19,72,186,183,84,2001-01-26,Calgary,CAN,Alberta,1,0,0,0,1
2024,BUF,8479999,https://assets.nhle.com/mugs/nhl/20232024/BUF/8479999.png,Casey,Mittelstadt,C,L,37,73,195,185,88,1998-11-22,Eden Prairie,USA,Minnesota,1,0,0,0,1
2024,BUF,8473449,https://assets.nhle.com/mugs/nhl/20232024/BUF/8473449.png,Kyle,Okposo,R,R,21,72,216,183,98,1988-04-16,St. Paul,USA,Minnesota,1,0,0,1,0
2024,BUF,8478109,https://assets.nhle.com/mugs/nhl/20232024/BUF/8478109.png,Victor,Olofsson,L,L,71,71,182,180,83,1995-07-18,Ornskoldsvik,SWE,"",1,0,0,0,1
2024,BUF,8482175,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482175.png,JJ,Peterka,R,L,77,72,189,183,86,2002-01-14,Munich,DEU,"",1,0,0,0,1
2024,BUF,8482097,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482097.png,Jack,Quinn,R,R,22,73,185,185,84,2001-09-19,Ottawa,CAN,Ontario,1,0,0,1,0
2024,BUF,8480762,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480762.png,Eric,Robinson,L,L,100,74,211,188,96,1995-06-14,Bellmawr,USA,New Jersey,1,0,0,0,1
2024,BUF,8475784,https://assets.nhle.com/mugs/nhl/20232024/BUF/8475784.png,Jeff,Skinner,L,L,53,71,200,180,91,1992-05-16,Toronto,CAN,Ontario,1,0,0,0,1
2024,BUF,8479420,https://assets.nhle.com/mugs/nhl/20232024/BUF/8479420.png,Tage,Thompson,C,R,72,78,220,198,100,1997-10-30,Phoenix,USA,Arizona,1,0,0,1,0
2024,BUF,8477949,https://assets.nhle.com/mugs/nhl/20232024/BUF/8477949.png,Alex,Tuch,R,R,89,76,215,193,98,1996-05-10,Syracuse,USA,New York,1,0,0,1,0
2024,BUF,8477365,https://assets.nhle.com/mugs/nhl/20232024/BUF/8477365.png,Connor,Clifton,D,R,75,71,192,180,87,1995-04-28,Matawan,USA,New Jersey,0,0,0,1,0
2024,BUF,8480839,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480839.png,Rasmus,Dahlin,D,L,26,75,204,191,93,2000-04-13,Lidkoping,SWE,"",0,0,0,0,1
2024,BUF,8473446,https://assets.nhle.com/mugs/nhl/20232024/BUF/8473446.png,Erik,Johnson,D,R,6,76,225,193,102,1988-03-21,Bloomington,USA,Minnesota,0,0,0,1,0
2024,BUF,8481564,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481564.png,Ryan,Johnson,D,L,33,73,195,185,88,2001-07-24,Newport Beach,USA,California,0,0,0,0,1
2024,BUF,8480035,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480035.png,Henri,Jokiharju,D,R,10,72,200,183,91,1999-06-17,Oulu,FIN,"",0,0,0,1,0
2024,BUF,8482671,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482671.png,Owen,Power,D,L,25,78,221,198,100,2002-11-22,Mississauga,CAN,Ontario,0,0,0,0,1
2024,BUF,8480807,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480807.png,Mattias,Samuelsson,D,L,23,76,224,193,102,2000-03-14,Philadelphia,USA,Pennsylvania,0,0,0,0,1
2024,BUF,8482221,https://assets.nhle.com/mugs/nhl/20232024/BUF/8482221.png,Devon,Levi,G,L,27,72,192,183,87,2001-12-27,Dollard-des-Ormeaux,CAN,Quebec,0,0,1,0,1
2024,BUF,8480045,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480045.png,Ukko-Pekka,Luukkonen,G,L,1,77,217,196,98,1999-03-09,Espoo,FIN,"",0,0,1,0,1
2024,CAR,8478427,https://assets.nhle.com/mugs/nhl/20232024/CAR/8478427.png,Sebastian,Aho,C,L,20,72,176,183,80,1997-07-26,Rauma,FIN,"",1,0,0,0,1
2024,CAR,8478047,https://assets.nhle.com/mugs/nhl/20232024/CAR/8478047.png,Michael,Bunting,L,L,58,72,192,183,87,1995-09-17,Scarborough,CAN,Ontario,1,0,0,0,1
2024,CAR,8480835,https://assets.nhle.com/mugs/nhl/20232024/CAR/8480835.png,Jack,Drury,C,L,18,71,174,180,79,2000-02-03,New York,USA,New York,1,0,0,0,1
2024,CAR,8475855,https://assets.nhle.com/mugs/nhl/20232024/CAR/8475855.png,Jesper,Fast,R,R,71,73,191,185,87,1991-12-02,Nassjo,SWE,"",1,0,0,1,0
2024,CAR,8482093,https://assets.nhle.com/mugs/nhl/20232024/CAR/8482093.png,Seth,Jarvis,C,R,24,70,175,178,79,2002-02-01,Winnipeg,CAN,Manitoba,1,0,0,1,0
2024,CAR,8480829,https://assets.nhle.com/mugs/nhl/20232024/CAR/8480829.png,Jesperi,Kotkaniemi,C,L,82,74,201,188,91,2000-07-06,Pori,FIN,"",1,0,0,0,1
2024,CAR,8477962,https://assets.nhle.com/mugs/nhl/20232024/CAR/8477962.png,Brendan,Lemieux,L,L,28,73,215,185,98,1996-03-15,Denver,USA,Colorado,1,0,0,0,1
2024,CAR,8476921,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476921.png,Jordan,Martinook,L,L,48,72,196,183,89,1992-07-25,Brandon,CAN,Manitoba,1,0,0,0,1
2024,CAR,8480039,https://assets.nhle.com/mugs/nhl/20232024/CAR/8480039.png,Martin,Necas,C,R,88,74,189,188,86,1999-01-15,Nove Mesto na Morave,CZE,"",1,0,0,1,0
2024,CAR,8476474,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476474.png,Stefan,Noesen,R,R,23,73,205,185,93,1993-02-12,Plano,USA,Texas,1,0,0,1,0
2024,CAR,8473533,https://assets.nhle.com/mugs/nhl/20232024/CAR/8473533.png,Jordan,Staal,C,L,11,76,220,193,100,1988-09-10,Thunder Bay,CAN,Ontario,1,0,0,0,1
2024,CAR,8480830,https://assets.nhle.com/mugs/nhl/20232024/CAR/8480830.png,Andrei,Svechnikov,R,L,37,74,195,188,88,2000-03-26,Barnaul,RUS,"",1,0,0,0,1
2024,CAR,8476882,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476882.png,Teuvo,Teravainen,L,L,86,71,191,180,87,1994-09-11,Helsinki,FIN,"",1,0,0,0,1
2024,CAR,8470613,https://assets.nhle.com/mugs/nhl/20232024/CAR/8470613.png,Brent,Burns,D,R,8,77,230,196,104,1985-03-09,Barrie,CAN,Ontario,0,0,0,1,0
2024,CAR,8478970,https://assets.nhle.com/mugs/nhl/20232024/CAR/8478970.png,Jalen,Chatfield,D,R,5,73,188,185,85,1996-05-15,Ypsilanti,USA,Michigan,0,0,0,1,0
2024,CAR,8477950,https://assets.nhle.com/mugs/nhl/20232024/CAR/8477950.png,Tony,DeAngelo,D,R,77,71,180,180,82,1995-10-24,Sewell,USA,New Jersey,0,0,0,1,0
2024,CAR,8475200,https://assets.nhle.com/mugs/nhl/20232024/CAR/8475200.png,Dmitry,Orlov,D,L,7,71,214,180,97,1991-07-23,Novokuznetsk,RUS,"",0,0,0,0,1
2024,CAR,8477488,https://assets.nhle.com/mugs/nhl/20232024/CAR/8477488.png,Brett,Pesce,D,R,22,75,206,191,93,1994-11-15,Tarrytown,USA,New York,0,0,0,1,0
2024,CAR,8476869,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476869.png,Brady,Skjei,D,L,76,75,210,191,95,1994-03-26,Lakeville,USA,Minnesota,0,0,0,0,1
2024,CAR,8476958,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476958.png,Jaccob,Slavin,D,L,74,75,207,191,94,1994-05-01,Denver,USA,Colorado,0,0,0,0,1
2024,CAR,8475883,https://assets.nhle.com/mugs/nhl/20232024/CAR/8475883.png,Frederik,Andersen,G,L,31,76,238,193,108,1989-10-02,Herning,DNK,"",0,0,1,0,1
2024,CAR,8481611,https://assets.nhle.com/mugs/nhl/20232024/CAR/8481611.png,Pyotr,Kochetkov,G,L,52,75,205,191,93,1999-06-25,Penza,RUS,"",0,0,1,0,1
2024,CAR,8484293,https://assets.nhle.com/mugs/nhl/20232024/CAR/8484293.png,Yaniv,Perets,G,L,60,73,181,185,82,2000-03-04,Dollard-des-Ormeaux,CAN,Quebec,0,0,1,0,1
2024,CAR,8477293,https://assets.nhle.com/mugs/nhl/20232024/CAR/8477293.png,Antti,Raanta,G,L,32,72,195,183,88,1989-05-12,Rauma,FIN,"",0,0,1,0,1
2024,CBJ,8480205,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480205.png,Emil,Bemstrom,R,R,52,72,195,183,88,1999-06-01,Nykoping,SWE,"",1,0,0,1,0
2024,CBJ,8482475,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8482475.png,Yegor,Chinakhov,R,L,59,73,204,185,93,2001-02-01,Omsk,RUS,"",1,0,0,0,1
2024,CBJ,8479941,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8479941.png,Justin,Danforth,R,R,17,68,188,173,85,1993-03-15,Oshawa,CAN,Ontario,1,0,0,1,0
2024,CBJ,8484166,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8484166.png,Adam,Fantilli,C,L,11,74,194,188,88,2004-10-12,Nobleton,CAN,Ontario,1,0,0,0,1
2024,CBJ,8476346,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8476346.png,Johnny,Gaudreau,L,L,13,69,163,175,74,1993-08-13,Salem,USA,New Jersey,1,0,0,0,1
2024,CBJ,8476432,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8476432.png,Boone,Jenner,C,L,38,74,208,188,94,1993-06-15,Dorchester,CAN,Ontario,1,0,0,0,1
2024,CBJ,8482660,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8482660.png,Kent,Johnson,C,L,91,72,178,183,81,2002-10-18,Port Moody,CAN,British Columbia,1,0,0,0,1
2024,CBJ,8476374,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8476374.png,Sean,Kuraly,C,L,7,74,215,188,98,1993-01-20,Niagara Falls,USA,New York,1,0,0,0,1
2024,CBJ,8479339,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8479339.png,Patrik,Laine,L,R,29,77,215,196,98,1998-04-19,Tampere,FIN,"",1,0,0,1,0
2024,CBJ,8480893,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480893.png,Kirill,Marchenko,R,R,86,75,195,191,88,2000-07-21,Barnaul,RUS,"",1,0,0,1,0
2024,CBJ,8479671,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8479671.png,Mathieu,Olivier,R,R,24,73,222,185,101,1997-02-11,Biloxi,USA,Mississippi,1,0,0,1,0
2024,CBJ,8478458,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8478458.png,Jack,Roslovic,C,R,96,73,198,185,90,1997-01-29,Columbus,USA,Ohio,1,0,0,1,0
2024,CBJ,8482705,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8482705.png,Cole,Sillinger,C,L,4,73,199,185,90,2003-05-16,Columbus,USA,Ohio,1,0,0,0,1
2024,CBJ,8480074,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480074.png,Alexandre,Texier,C,L,42,73,201,185,91,1999-09-13,Saint-Martin-d'Hères,FRA,"",1,0,0,0,1
