season,team,player_id,headshot,firstName,lastName,shootsCatches,sweaterNumber,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,pos_F,pos_D,pos_G,hand_R,hand_L
2024,EDM,8481534,https://assets.nhle.com/mugs/nhl/20232024/EDM/8481534.png,Raphael,Lavoie,R,62,76,215,193,98,2000-09-25,Chambly,CAN,Quebec,1,0,0,1,0
2024,SJS,8480992,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480992.png,Magnus,Chrona,L,30,76,194,193,88,2000-08-28,Skelleftea,SWE,"",0,0,1,0,1
2024,ANA,8483482,https://assets.nhle.com/mugs/nhl/20232024/ANA/8483482.png,Tristan,Luneau,R,67,73,195,185,88,2004-01-12,Victoriaville,CAN,Quebec,0,1,0,1,0
2024,VGK,8482141,https://assets.nhle.com/mugs/nhl/20232024/VGK/8482141.png,Lukas,Cormier,L,40,71,185,180,84,2002-03-27,Sainte-Marie-de-Kent,CAN,New Brunswick,0,1,0,0,1
2024,BUF,8483468,https://assets.nhle.com/mugs/nhl/20232024/BUF/8483468.png,Jiri,Kulich,L,20,73,186,185,84,2004-04-14,Kadan,CZE,"",1,0,0,0,1
2024,NJD,8478956,https://assets.nhle.com/mugs/nhl/20232024/NJD/8478956.png,Samuel,Laberge,L,79,74,206,188,93,1997-04-10,Chateauguay,CAN,Quebec,1,0,0,0,1
2024,TBL,8482144,https://assets.nhle.com/mugs/nhl/20232024/TBL/8482144.png,Jack,Thompson,R,28,73,189,185,86,2002-03-19,Courtice,CAN,Ontario,0,1,0,1,0
2024,TBL,8477035,https://assets.nhle.com/mugs/nhl/20232024/TBL/8477035.png,Matt,Tomkins,L,90,76,191,193,87,1994-06-19,Edmonton,CAN,Alberta,0,0,1,0,1
2024,PIT,8483401,https://assets.nhle.com/mugs/nhl/20232024/PIT/8483401.png,Marc,Johnstone,R,9,72,181,183,82,1996-06-19,Cranford,USA,New Jersey,1,0,0,1,0
2024,WSH,8482411,https://assets.nhle.com/mugs/nhl/20232024/WSH/8482411.png,Hunter,Shepard,L,31,72,215,183,98,1995-11-07,Cohasset,USA,Minnesota,0,0,1,0,1
2024,TBL,8483398,https://assets.nhle.com/mugs/nhl/20232024/TBL/8483398.png,Declan,Carlile,L,67,73,185,185,84,2000-05-18,Hartland,USA,Michigan,0,1,0,0,1
2024,NYR,8482747,https://assets.nhle.com/mugs/nhl/20232024/NYR/8482747.png,Brennan,Othmann,L,78,72,186,183,84,2003-01-05,Pickering,CAN,Ontario,1,0,0,0,1
2024,MIN,8482094,https://assets.nhle.com/mugs/nhl/20232024/MIN/8482094.png,Daemon,Hunt,L,48,73,201,185,91,2002-05-15,Brandon,CAN,Manitoba,0,1,0,0,1
2024,OTT,8484321,https://assets.nhle.com/mugs/nhl/20232024/OTT/8484321.png,Nikolas,Matinpalo,R,33,75,207,191,94,1998-10-05,Espoo,FIN,"",0,1,0,1,0
2024,NSH,8481743,https://assets.nhle.com/mugs/nhl/20232024/NSH/8481743.png,Marc,Del Gaizo,L,7,71,188,180,85,1999-10-11,Basking Ridge,USA,New Jersey,0,1,0,0,1
2024,NYR,8481726,https://assets.nhle.com/mugs/nhl/20232024/NYR/8481726.png,Adam,Edstrom,L,84,79,234,201,106,2000-10-12,Karlstad,SWE,"",1,0,0,0,1
2024,BUF,8483512,https://assets.nhle.com/mugs/nhl/20232024/BUF/8483512.png,Matt,Savoie,R,93,69,179,175,81,2004-01-01,St. Albert,CAN,Alberta,1,0,0,1,0
2024,BOS,8482511,https://assets.nhle.com/mugs/nhl/20232024/BOS/8482511.png,Mason,Lohrei,L,6,77,211,196,96,2001-01-17,Baton Rouge,USA,Louisiana,0,1,0,0,1
2024,MTL,8482476,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482476.png,Emil,Heineman,L,51,72,202,183,92,2001-11-16,Leksand,SWE,"",1,0,0,0,1
2024,CAR,8482102,https://assets.nhle.com/mugs/nhl/20232024/CAR/8482102.png,Vasily,Ponomarev,L,92,70,180,178,82,2002-03-13,Moscow,RUS,"",1,0,0,0,1
2024,COL,8484259,https://assets.nhle.com/mugs/nhl/20232024/COL/8484259.png,Ondrej,Pavel,L,26,74,205,188,93,2000-08-29,Praha,CZE,"",1,0,0,0,1
2024,CGY,8482165,https://assets.nhle.com/mugs/nhl/20232024/CGY/8482165.png,Yan,Kuznetsov,L,37,76,209,193,95,2002-03-09,Murmansk,RUS,"",0,1,0,0,1
2024,TOR,8483489,https://assets.nhle.com/mugs/nhl/20232024/TOR/8483489.png,Fraser,Minten,L,39,74,192,188,87,2004-07-05,Vancouver,CAN,British Columbia,1,0,0,0,1
2024,OTT,8481065,https://assets.nhle.com/mugs/nhl/20232024/OTT/8481065.png,Angus,Crookshank,L,59,70,181,178,82,1999-10-02,North Vancouver,CAN,British Columbia,1,0,0,0,1
